Date,Value,Anomaly
193901,38.6,7.1
194001,15.1,-16.4
194101,34.4,2.9
194201,31.8,0.3
194301,31.0,-0.5
194401,36.4,4.9
194501,28.1,-3.4
194601,33.9,2.4
194701,36.7,5.2
194801,25.7,-5.8
194901,32.5,1.0
195001,37.8,6.3
195101,32.8,1.3
195201,36.1,4.6
195301,35.4,3.9
195401,32.8,1.3
195501,33.2,1.7
195601,29.3,-2.2
195701,27.0,-4.5
195801,31.4,-0.1
195901,27.8,-3.7
196001,34.2,2.7
196101,30.7,-0.8
196201,26.3,-5.2
196301,22.9,-8.6
196401,36.3,4.8
196501,33.5,2.0
196601,26.5,-5.0
196701,36.3,4.8
196801,30.2,-1.3
196901,30.3,-1.2
197001,25.9,-5.6
197101,28.6,-2.9
197201,31.0,-0.5
197301,33.7,2.2
197401,31.4,-0.1
197501,34.8,3.3
197601,29.7,-1.8
197701,16.6,-14.9
197801,21.3,-10.2
197901,18.4,-13.1
198001,32.0,0.5
198101,31.3,-0.2
198201,23.1,-8.4
198301,32.8,1.3
198401,28.8,-2.7
198501,23.1,-8.4
198601,35.4,3.9
198701,31.1,-0.4
198801,29.7,-1.8
198901,40.6,9.1
199001,42.7,11.2
199101,29.1,-2.4
199201,36.8,5.3
199301,31.9,0.4
199401,26.3,-5.2
199501,30.6,-0.9
199601,28.9,-2.6
199701,27.7,-3.8
199801,37.4,5.9
199901,32.4,0.9
200001,34.0,2.5
200101,31.5,0.0
200201,37.2,5.7
200301,28.3,-3.2
200401,31.1,-0.4
200501,34.1,2.6
200601,42.5,11.0
200701,34.3,2.8
200801,33.2,1.7
200901,29.1,-2.4
201001,27.1,-4.4
201101,27.6,-3.9
201201,38.0,6.5
201301,35.5,4.0
201401,27.0,-4.5
201501,32.6,1.1
201601,33.3,1.8
201701,37.3,5.8
201801,30.0,-1.5
201901,31.1,-0.4
202001,36.1,4.6
202101,35.0,3.5
202201,29.5,-2.0
